gr,freq,shape,colour,opacity,size
B61,6,circlerad,black,0.8,1
B70,7,circlerad,black,0.8,1
B71,4,circlerad,black,0.8,1
B72,4,circlerad,black,0.8,1
B73,1,circlerad,black,0.8,1
B80,3,circlerad,black,0.8,1
B81,2,circlerad,black,0.8,1
B82,4,circlerad,black,0.8,1
B83,4,circlerad,black,0.8,1
B84,2,circlerad,black,0.8,1
B90,5,circlerad,black,0.8,1
B91,4,circlerad,black,0.8,1
B92,7,circlerad,black,0.8,1
B93,9,circlerad,black,0.8,1
B94,1,circlerad,black,0.8,1
C00,4,circlerad,black,0.8,1
C01,9,circlerad,black,0.8,1
C02,5,circlerad,black,0.8,1
C03,11,circlerad,black,0.8,1
C04,3,circlerad,black,0.8,1
C10,8,circlerad,black,0.8,1
C11,7,circlerad,black,0.8,1
C12,9,circlerad,black,0.8,1
C13,6,circlerad,black,0.8,1
C14,5,circlerad,black,0.8,1
C20,7,circlerad,black,0.8,1
C21,8,circlerad,black,0.8,1
C22,6,circlerad,black,0.8,1
C23,8,circlerad,black,0.8,1
C24,7,circlerad,black,0.8,1
C30,6,circlerad,black,0.8,1
C31,7,circlerad,black,0.8,1
C32,9,circlerad,black,0.8,1
C33,3,circlerad,black,0.8,1
C34,8,circlerad,black,0.8,1
C35,3,circlerad,black,0.8,1
C40,13,circlerad,black,0.8,1
C41,15,circlerad,black,0.8,1
C42,7,circlerad,black,0.8,1
C43,3,circlerad,black,0.8,1
C44,3,circlerad,black,0.8,1
C45,5,circlerad,black,0.8,1
C46,1,circlerad,black,0.8,1
C50,13,circlerad,black,0.8,1
C51,11,circlerad,black,0.8,1
C52,9,circlerad,black,0.8,1
C53,1,circlerad,black,0.8,1
C54,9,circlerad,black,0.8,1
C55,3,circlerad,black,0.8,1
C60,13,circlerad,black,0.8,1
C61,4,circlerad,black,0.8,1
C62,18,circlerad,black,0.8,1
C63,11,circlerad,black,0.8,1
C64,4,circlerad,black,0.8,1
C70,8,circlerad,black,0.8,1
C71,4,circlerad,black,0.8,1
C72,9,circlerad,black,0.8,1
C73,11,circlerad,black,0.8,1
C80,11,circlerad,black,0.8,1
C81,19,circlerad,black,0.8,1
C82,10,circlerad,black,0.8,1
C83,14,circlerad,black,0.8,1
C84,3,circlerad,black,0.8,1
C90,10,circlerad,black,0.8,1
C91,14,circlerad,black,0.8,1
C92,12,circlerad,black,0.8,1
C93,12,circlerad,black,0.8,1
C94,10,circlerad,black,0.8,1
D00,13,circlerad,black,0.8,1
D01,10,circlerad,black,0.8,1
D02,15,circlerad,black,0.8,1
D03,12,circlerad,black,0.8,1
D04,8,circlerad,black,0.8,1
D05,1,circlerad,black,0.8,1
D10,16,circlerad,black,0.8,1
D11,14,circlerad,black,0.8,1
D12,8,circlerad,black,0.8,1
D13,15,circlerad,black,0.8,1
D14,9,circlerad,black,0.8,1
D15,4,circlerad,black,0.8,1
D20,10,circlerad,black,0.8,1
D21,14,circlerad,black,0.8,1
D22,13,circlerad,black,0.8,1
D23,10,circlerad,black,0.8,1
D24,2,circlerad,black,0.8,1
D30,15,circlerad,black,0.8,1
