gr,freq,shape,colour,opacity,size
B61,6,circle,black,0.8,1
B70,7,circle,black,0.8,1
B71,5,circle,black,0.8,1
B72,7,circle,black,0.8,1
B73,1,circle,black,0.8,1
B80,3,circle,black,0.8,1
B81,3,circle,black,0.8,1
B82,3,circle,black,0.8,1
B83,4,circle,black,0.8,1
B84,2,circle,black,0.8,1
B90,4,circle,black,0.8,1
B91,4,circle,black,0.8,1
B92,6,circle,black,0.8,1
B93,4,circle,black,0.8,1
B94,1,circle,black,0.8,1
C00,4,circle,black,0.8,1
C01,5,circle,black,0.8,1
C02,4,circle,black,0.8,1
C03,7,circle,black,0.8,1
C04,3,circle,black,0.8,1
C10,3,circle,black,0.8,1
C11,2,circle,black,0.8,1
C12,5,circle,black,0.8,1
C13,6,circle,black,0.8,1
C14,3,circle,black,0.8,1
C20,3,circle,black,0.8,1
C21,5,circle,black,0.8,1
C22,4,circle,black,0.8,1
C23,5,circle,black,0.8,1
C24,4,circle,black,0.8,1
C30,5,circle,black,0.8,1
C31,6,circle,black,0.8,1
C32,5,circle,black,0.8,1
C33,3,circle,black,0.8,1
C34,7,circle,black,0.8,1
C35,2,circle,black,0.8,1
C36,1,circle,black,0.8,1
C40,5,circle,black,0.8,1
C41,9,circle,black,0.8,1
C42,6,circle,black,0.8,1
C43,4,circle,black,0.8,1
C44,4,circle,black,0.8,1
C45,4,circle,black,0.8,1
C46,1,circle,black,0.8,1
C50,7,circle,black,0.8,1
C51,6,circle,black,0.8,1
C52,4,circle,black,0.8,1
C53,1,circle,black,0.8,1
C54,9,circle,black,0.8,1
C55,3,circle,black,0.8,1
C60,4,circle,black,0.8,1
C61,3,circle,black,0.8,1
C62,9,circle,black,0.8,1
C63,8,circle,black,0.8,1
C64,4,circle,black,0.8,1
C70,7,circle,black,0.8,1
C71,3,circle,black,0.8,1
C72,5,circle,black,0.8,1
C73,8,circle,black,0.8,1
C80,9,circle,black,0.8,1
C81,14,circle,black,0.8,1
C82,7,circle,black,0.8,1
C83,11,circle,black,0.8,1
C84,3,circle,black,0.8,1
C90,7,circle,black,0.8,1
C91,10,circle,black,0.8,1
C92,8,circle,black,0.8,1
C93,10,circle,black,0.8,1
C94,10,circle,black,0.8,1
D00,7,circle,black,0.8,1
D01,7,circle,black,0.8,1
D02,10,circle,black,0.8,1
D03,8,circle,black,0.8,1
D04,9,circle,black,0.8,1
D05,1,circle,black,0.8,1
D10,8,circle,black,0.8,1
D11,14,circle,black,0.8,1
D12,7,circle,black,0.8,1
D13,8,circle,black,0.8,1
D14,7,circle,black,0.8,1
D15,2,circle,black,0.8,1
D20,7,circle,black,0.8,1
D21,8,circle,black,0.8,1
D22,12,circle,black,0.8,1
D23,8,circle,black,0.8,1
D24,2,circle,black,0.8,1
D30,13,circle,black,0.8,1
D31,6,circle,black,0.8,1
D32,1,circle,black,0.8,1
D40,6,circle,black,0.8,1
F50,4,circle,black,0.8,1
F52,1,circle,black,0.8,1
F60,6,circle,black,0.8,1
F61,3,circle,black,0.8,1
F62,7,circle,black,0.8,1
F63,6,circle,black,0.8,1
F70,5,circle,black,0.8,1
F71,5,circle,black,0.8,1
F72,6,circle,black,0.8,1
F73,3,circle,black,0.8,1
F74,1,circle,black,0.8,1
F80,3,circle,black,0.8,1
F81,3,circle,black,0.8,1
F82,4,circle,black,0.8,1
F83,4,circle,black,0.8,1
F84,4,circle,black,0.8,1
F90,2,circle,black,0.8,1
F91,1,circle,black,0.8,1
F92,6,circle,black,0.8,1
F93,2,circle,black,0.8,1
F94,2,circle,black,0.8,1
G00,4,circle,black,0.8,1
G01,1,circle,black,0.8,1
G02,6,circle,black,0.8,1
G03,2,circle,black,0.8,1
G04,5,circle,black,0.8,1
G10,4,circle,black,0.8,1
G11,2,circle,black,0.8,1
G12,5,circle,black,0.8,1
G13,3,circle,black,0.8,1
G14,2,circle,black,0.8,1
G20,12,circle,black,0.8,1
G21,5,circle,black,0.8,1
G22,9,circle,black,0.8,1
G23,4,circle,black,0.8,1
G30,7,circle,black,0.8,1
G31,3,circle,black,0.8,1
G32,15,circle,black,0.8,1
G33,17,circle,black,0.8,1
G40,14,circle,black,0.8,1
G41,10,circle,black,0.8,1
G42,10,circle,black,0.8,1
G43,11,circle,black,0.8,1
G47,1,circle,black,0.8,1
G48,2,circle,black,0.8,1
G50,11,circle,black,0.8,1
G51,9,circle,black,0.8,1
G52,12,circle,black,0.8,1
G53,13,circle,black,0.8,1
G54,9,circle,black,0.8,1
G55,2,circle,black,0.8,1
G57,2,circle,black,0.8,1
G58,3,circle,black,0.8,1
G59,1,circle,black,0.8,1
G60,15,circle,black,0.8,1
G61,14,circle,black,0.8,1
G62,18,circle,black,0.8,1
G63,18,circle,black,0.8,1
G64,21,circle,black,0.8,1
G65,7,circle,black,0.8,1
G67,5,circle,black,0.8,1
G68,8,circle,black,0.8,1
G69,7,circle,black,0.8,1
G70,16,circle,black,0.8,1
G71,10,circle,black,0.8,1
G72,18,circle,black,0.8,1
G73,21,circle,black,0.8,1
G74,15,circle,black,0.8,1
G75,22,circle,black,0.8,1
G76,1,circle,black,0.8,1
G77,7,circle,black,0.8,1
G78,4,circle,black,0.8,1
G79,5,circle,black,0.8,1
G80,9,circle,black,0.8,1
G81,12,circle,black,0.8,1
G82,16,circle,black,0.8,1
G83,22,circle,black,0.8,1
G84,13,circle,black,0.8,1
G85,17,circle,black,0.8,1
G86,4,circle,black,0.8,1
G87,6,circle,black,0.8,1
G88,3,circle,black,0.8,1
G90,13,circle,black,0.8,1
G91,9,circle,black,0.8,1
G92,13,circle,black,0.8,1
G93,13,circle,black,0.8,1
G94,21,circle,black,0.8,1
G95,20,circle,black,0.8,1
G96,7,circle,black,0.8,1
G97,8,circle,black,0.8,1
G98,10,circle,black,0.8,1
G99,1,circle,black,0.8,1
H00,12,circle,black,0.8,1
H01,11,circle,black,0.8,1
H02,9,circle,black,0.8,1
H03,13,circle,black,0.8,1
H04,22,circle,black,0.8,1
H05,21,circle,black,0.8,1
H06,13,circle,black,0.8,1
H07,8,circle,black,0.8,1
H08,8,circle,black,0.8,1
H09,5,circle,black,0.8,1
H10,12,circle,black,0.8,1
H11,12,circle,black,0.8,1
H12,6,circle,black,0.8,1
H13,22,circle,black,0.8,1
H14,24,circle,black,0.8,1
H15,22,circle,black,0.8,1
H16,23,circle,black,0.8,1
H17,10,circle,black,0.8,1
H18,4,circle,black,0.8,1
H19,4,circle,black,0.8,1
H20,13,circle,black,0.8,1
H21,4,circle,black,0.8,1
H22,21,circle,black,0.8,1
H23,25,circle,black,0.8,1
H24,19,circle,black,0.8,1
H25,18,circle,black,0.8,1
H26,21,circle,black,0.8,1
H27,9,circle,black,0.8,1
H28,12,circle,black,0.8,1
H29,7,circle,black,0.8,1
H30,8,circle,black,0.8,1
H31,10,circle,black,0.8,1
H32,22,circle,black,0.8,1
H33,23,circle,black,0.8,1
H34,21,circle,black,0.8,1
H35,12,circle,black,0.8,1
H36,6,circle,black,0.8,1
H37,4,circle,black,0.8,1
H38,6,circle,black,0.8,1
H39,5,circle,black,0.8,1
H40,4,circle,black,0.8,1
H41,4,circle,black,0.8,1
H42,23,circle,black,0.8,1
H43,24,circle,black,0.8,1
H44,20,circle,black,0.8,1
H45,8,circle,black,0.8,1
H46,6,circle,black,0.8,1
H47,6,circle,black,0.8,1
H48,8,circle,black,0.8,1
H49,3,circle,black,0.8,1
H50,3,circle,black,0.8,1
H51,4,circle,black,0.8,1
H52,10,circle,black,0.8,1
H53,15,circle,black,0.8,1
H54,13,circle,black,0.8,1
H55,9,circle,black,0.8,1
H56,5,circle,black,0.8,1
H57,5,circle,black,0.8,1
H58,10,circle,black,0.8,1
H59,2,circle,black,0.8,1
H60,2,circle,black,0.8,1
H61,5,circle,black,0.8,1
H62,2,circle,black,0.8,1
H63,6,circle,black,0.8,1
H64,7,circle,black,0.8,1
H65,7,circle,black,0.8,1
H66,4,circle,black,0.8,1
H67,4,circle,black,0.8,1
H68,5,circle,black,0.8,1
H69,3,circle,black,0.8,1
H70,3,circle,black,0.8,1
H71,2,circle,black,0.8,1
H72,4,circle,black,0.8,1
H73,11,circle,black,0.8,1
H74,16,circle,black,0.8,1
H75,9,circle,black,0.8,1
H76,5,circle,black,0.8,1
H77,4,circle,black,0.8,1
H78,3,circle,black,0.8,1
H79,5,circle,black,0.8,1
H80,8,circle,black,0.8,1
H81,10,circle,black,0.8,1
H82,14,circle,black,0.8,1
H83,11,circle,black,0.8,1
H84,20,circle,black,0.8,1
H85,12,circle,black,0.8,1
H86,6,circle,black,0.8,1
H87,1,circle,black,0.8,1
H88,9,circle,black,0.8,1
H89,9,circle,black,0.8,1
H90,1,circle,black,0.8,1
H91,7,circle,black,0.8,1
H92,11,circle,black,0.8,1
H93,12,circle,black,0.8,1
H94,12,circle,black,0.8,1
H95,11,circle,black,0.8,1
H96,11,circle,black,0.8,1
H97,5,circle,black,0.8,1
H98,7,circle,black,0.8,1
H99,10,circle,black,0.8,1
HP50,9,circle,black,0.8,1
HP60,5,circle,black,0.8,1
HP61,7,circle,black,0.8,1
HT93,2,circle,black,0.8,1
HT94,1,circle,black,0.8,1
HU14,1,circle,black,0.8,1
HU15,4,circle,black,0.8,1
HU16,2,circle,black,0.8,1
HU25,4,circle,black,0.8,1
HU27,2,circle,black,0.8,1
HU28,1,circle,black,0.8,1
HU30,1,circle,black,0.8,1
HU31,6,circle,black,0.8,1
HU32,1,circle,black,0.8,1
HU33,3,circle,black,0.8,1
HU34,4,circle,black,0.8,1
HU35,5,circle,black,0.8,1
HU36,5,circle,black,0.8,1
HU37,7,circle,black,0.8,1
HU38,3,circle,black,0.8,1
HU39,3,circle,black,0.8,1
HU40,2,circle,black,0.8,1
HU41,3,circle,black,0.8,1
HU42,9,circle,black,0.8,1
HU43,6,circle,black,0.8,1
HU44,7,circle,black,0.8,1
HU45,8,circle,black,0.8,1
HU46,7,circle,black,0.8,1
HU47,4,circle,black,0.8,1
HU48,3,circle,black,0.8,1
HU49,1,circle,black,0.8,1
HU53,2,circle,black,0.8,1
HU54,3,circle,black,0.8,1
HU55,1,circle,black,0.8,1
HU56,6,circle,black,0.8,1
HU57,2,circle,black,0.8,1
HU58,3,circle,black,0.8,1
HU59,5,circle,black,0.8,1
HU67,2,circle,black,0.8,1
HU68,1,circle,black,0.8,1
HU69,3,circle,black,0.8,1
HW83,1,circle,black,0.8,1
HY20,14,circle,black,0.8,1
HY21,14,circle,black,0.8,1
HY22,16,circle,black,0.8,1
HY30,9,circle,black,0.8,1
HY31,17,circle,black,0.8,1
HY32,14,circle,black,0.8,1
HY33,3,circle,black,0.8,1
HY34,1,circle,black,0.8,1
HY40,12,circle,black,0.8,1
HY41,8,circle,black,0.8,1
HY42,12,circle,black,0.8,1
HY43,5,circle,black,0.8,1
HY44,10,circle,black,0.8,1
HY45,4,circle,black,0.8,1
HY50,14,circle,black,0.8,1
HY51,4,circle,black,0.8,1
HY52,3,circle,black,0.8,1
HY53,4,circle,black,0.8,1
HY54,1,circle,black,0.8,1
HY55,1,circle,black,0.8,1
HY60,1,circle,black,0.8,1
HY61,1,circle,black,0.8,1
HY62,11,circle,black,0.8,1
HY63,6,circle,black,0.8,1
HY64,9,circle,black,0.8,1
HY73,1,circle,black,0.8,1
HY74,6,circle,black,0.8,1
HY75,7,circle,black,0.8,1
HZ26,1,circle,black,0.8,1
J00,6,circle,black,0.8,1
J01,9,circle,black,0.8,1
J02,11,circle,black,0.8,1
J03,18,circle,black,0.8,1
J04,15,circle,black,0.8,1
J05,17,circle,black,0.8,1
J06,14,circle,black,0.8,1
J07,5,circle,black,0.8,1
J08,12,circle,black,0.8,1
J09,7,circle,black,0.8,1
J10,5,circle,black,0.8,1
J11,10,circle,black,0.8,1
J12,11,circle,black,0.8,1
J13,8,circle,black,0.8,1
J14,14,circle,black,0.8,1
J15,15,circle,black,0.8,1
J16,8,circle,black,0.8,1
J17,15,circle,black,0.8,1
J18,13,circle,black,0.8,1
J19,10,circle,black,0.8,1
J20,3,circle,black,0.8,1
J21,15,circle,black,0.8,1
J22,13,circle,black,0.8,1
J23,7,circle,black,0.8,1
J24,9,circle,black,0.8,1
J25,10,circle,black,0.8,1
J26,15,circle,black,0.8,1
J27,14,circle,black,0.8,1
J28,15,circle,black,0.8,1
J29,10,circle,black,0.8,1
J31,4,circle,black,0.8,1
J32,7,circle,black,0.8,1
J33,21,circle,black,0.8,1
J34,14,circle,black,0.8,1
J35,13,circle,black,0.8,1
J36,17,circle,black,0.8,1
J37,25,circle,black,0.8,1
J38,15,circle,black,0.8,1
J39,15,circle,black,0.8,1
J43,10,circle,black,0.8,1
J44,16,circle,black,0.8,1
J45,16,circle,black,0.8,1
J46,11,circle,black,0.8,1
J47,17,circle,black,0.8,1
J48,12,circle,black,0.8,1
J49,15,circle,black,0.8,1
J53,11,circle,black,0.8,1
J54,18,circle,black,0.8,1
J55,20,circle,black,0.8,1
J56,13,circle,black,0.8,1
J57,18,circle,black,0.8,1
J58,8,circle,black,0.8,1
J64,7,circle,black,0.8,1
J65,12,circle,black,0.8,1
